,0_x,0_y
11,"[""The morning sun opens up my eyes\nWhat I see is the same world I know you're seeing\nMy dreams are real until I realize\nRealizing's a slow fade from thought to being\nThe waking world is full of cynics' sighs\nCynicism's a box I don't want to be in\nI'll stay in bed until I stabilize\nI try to write this song\nTo move my life along\nI know what I dream of\nI'll save my life for love\nHidden meanings don't need to hide\nWhen I hide from the world you're the one who'll find me\nThey don't need screening from the world outside\nIf the truth's overdue I know you'll remind me\nIf the truth police are…\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",My Uptight Life+Teenage Fanclub
12,"[""My skin doesn't fit\nMy words seem so hollow\nI feel like a fraud\nAnd that's a bitter pill to swallow\nSometimes it hits me right between the eyes\nEveryone can see through my disguise\nWho am I fooling\nI'm just a smiling face\nIn a make-believe world\nWho am I fooling\nI'm just a wannabe\nSo easy to replace\nPretending I'm a perfect girl\nAll alone in the mirror\nAll alone on the shelf\nI'm trying to hold on\nTo a little piece of myself\nDoesn't anybody realize\nEven I don't buy my own disguise\nWho am I fooling\nI'm just a smiling face\nIn a make-believe world\nWho am I fooling\nI'm just a wannabe\nSo easy to replace\nPretending I'm a perfect girl\nThere's a part of me that's fighting back\nThere's a part of me that knows\nWhen I'm pouring out my heart\nI'm still putting on a show\nWho am I…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Who Am I Fooling+Alexz Johnson
13,[],'93+Fflur Dafydd
14,[],Mathilde+Didier Lockwood
15,[],Elle [Copyright Re-edit]+DJ Gregory
16,[],It's A Surprise+Poison Control Center
17,[],Never Mind+Hugo Largo
18,"[""Must be nice\nHaving someone who understands the life you live\nMust be nice\nHaving someone whose slow to take and quick to give\nMust be nice\nHaving someone who sticks around when the rough times get thick\nSomeone whose smile is bright enough to make the projects feel like a mansion\nMust be nice\nHaving someone who loves you despite your faults\nMust be nice\nHaving someone who talks the talk but also walks the walk\nMust be nice\nHaving someone who understands that a thug has feelings too\nSomeone who loves you for sho'\nYou just remember to never let 'em go\n'Cause even when your hustling days are gone\nShe'll be by your side still holding on\nEven when those twenties stop spinning\nAnd all those gold-digging women disappear\nShe'll still be here\nMust be nice\nHaving…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Must Be Nice+Lyfe Jennings
19,[],The Gaelic Intake+Red Animal War
20,['假使不能公開妒忌 學習大方接受\n同行時要殿後 誰冷落舊朋友\n節日約我三位一體的慶祝\n沿途明亮燈飾閃映著沉重\n言談越熾熱 內在更冰凍\n誰當初無心將兩方綴合\n然後留低只得這寂寞人\n仍是你們密友 呆望你們熱吻\n應該傷感還是快感\n能迴避嘛 我怕了當那電燈膽\n黏著你們 來來回委曲中受難\n一個我被撇低 卻又很不慣\n要走的一剎又折返\n能承認嘛 我故意當那電燈膽\n他日你們完場時 入替也不難\n善良人埋藏著最壞的心眼\n妄想一天你們會散 會選我嗎\n對換了你身份可應該滿足\n情人還是知己都擁入懷抱\n同情或眼淚 讓別個得到\n留低的原因 一世的秘密\n其實明知只得我是外人…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch'],Dian Deng Dan+Stephy Tang
21,"[""Used to get that funky freshman love that passion fruits.\nThe one that made you kiss my back on saturdays\nI used to see myself, dancing to the sound of flumes\nUsed to wonder if you'd ever again take my picture, as we swidly sit on the highest mountain.\nAnd i said hey!\nI could get used to this!\nI could get used to dance!\nUsed to say I will take care of you, you know.\nUsed to hold your guide so very close. You did! You did it all…\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",So Pure+Kondencuotas Pienas feat. Mill
22,"[""Well, how many times\nHave we rowed and thrown tantrums?\nAnd how many times have we loaded\nAnd cocked the hammers on our verbal guns?\nAnd how many times has crockery and cutlery\nAnd cups of tea been thrown at me?\nHow many times have I thrown words back at you\nI knew could cut you to the bone?\nHow many times have we slept side by side\nA thousand miles apart?\nHow many times have we thought\nWe could finish something we could never even start?\nHow many times have I said I love you\nAnd I hate you in the same breath?\nHow many times have we tried\nTo grab something when there was nothing?\nWe got no time\nWe got no time\nWe got no time left at all\nNo, no, we got no time\nWell, how many times have our friends\nWarned us against this?\nAnd I can't remember a time\nWhen I have felt…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",No Time+Just Jack
23,[],Call Batman+Brick
24,[],EveryDay Thang+Frayser Boy
25,[],Sleep Sleep Sleep+The Late Greats
26,[],Monofour+Shameboy
27,['DRYADSONGDryadmother angelic queen\nEnhanced by thy mellow lily-scent\nShe is weeping marble rain\nStill her childrens worldly bane\nHoneydwarves and steeds of bronze\nYellow-red orchids with universe horns\nAlas! Well loose our majesty\nFor strangers have stained the gardeners key\nGolden fairies\nFervant arcs of silent woe\nEbon water\nSent by bitter elfin-bows\nFlaring chants of a nightspawn iris\nCandlelight fields in violet dew\nSpiritodes were onc so close\nAshamed of mortal dreamless view\nLike a…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch'],Dryadsong+Autumnblaze
28,"[""You've no mother to feed you\nOr to lick your so deep wounds\nNor Earth where to lay your father\nAnd even the Moon lies to you\nWhen she shines\nThe seduction of an altar\nIs a weakness in her movements of Death\nIt is a mere vanity of Woman\nTo delay her midnight ride\nSuicide... Midnight ride...\nBeautiful dagger you may now leave your case\nWild red tears at the lady's hand\nKissed were her breasts with your sharpened face\nGiven is now what Love had taken\nDeath and Love, they together danced\nYes, the flames did smile…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Of Dream And Drama+Moonspell
29,[],Como Che Quero Nena+Heredeiros Da Crus
30,[],North Window+The Inbreds
31,[],Don't Go Away Mad (Album Version)+Little Village
32,"[""Can't we be sweethearts\nWhy don't we fall in love\nRight from the start,\nYou're the girl I'm dreamin' of\nOh can't you see\nYou're the one and only girl for me\nPlease by my sweetheart;\nDon't you know the way I feel\nDon't play the part;\nPlease make my dreams come real\nOh don't you know,\nDon't you know I really love you so\nWe'd walk hand in hand in our wonderland\nThe world would be our own\nI'd make love to you, lovin' kisses…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Cant We Be Sweethearts+Cleftones
33,[],Swinging+Tidy Boys
34,[],Maya+Debashish Bhattacharya
35,"['Friday night! this is the party night\nSuch the perfect night to stay separated from our minds\nTen yards away is the drunken clamor of pacified suburbanites\n(Fives slapping, beers clanking, senses numbing)\nJosh is above the disconnect and privilege that plague our times\nRaise your flag to the wolves\nA fire in celebration to him, and in rage\nFor all the people…\n\n\n\nTraducir al español\nFuente: Musixmatch']",Rage+Final Fight
36,[],Final Request+Josef K
37,"[""We're running on empty\nAnd every heartbeat's out of time\nIt's hurting within me, oh yeah\nWe have to slow down here for a while\nAnd just make the time for some loving again\nSave a better tomorrow\nLet's take it back to where we started here and now\n'Cause tonight it's our time\nThere's no reason for pretending\nYes tonight you'll be mine\nLet this love be neverending\nI sit and remember\nThe day when our love was young and free\nWe promised forever, baby\nIt's time for a change in you and me\nAnd just make the time for some loving again\nSave a better tomorrow\nLet's take it back to where we started here and now\n'Cause tonight it's our time\nThere's no reason for pretending\nYes tonight you'll be mine\nLet this love be neverending\nI know I'll find a way to get through\nThis time…\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",tonight+Jazzamor
38,[],Msindo+Survivor
39,"[""Ohhh ohhhhh oh\nOh precious\nYeah yeah yea\nOhhhhhhhhhhhh\nAs I walk into my bedroom I see pictures\nOn my wall, a collection of memories\nThe county fair, a movie there\nSome we don't remember where\nThey won't let me forget the time we shared\nYou know I'm always thinking of you\nNo matter what the time, the day, or place\n'Cause you were my friend when there was no others\nAnd all of my love for you can never be erased\nNo ohhhh\nNo I never had a friend like you\nAnd I hope we stay together\nAnd somehow we're gonna make it through\nAnd you'll be my friend forever\nNo matter how far away\nYou will always have a special place\n'Cause I never had a friend like you\nNo I never had a friend like you\nIt feels good to know you're only a call away\nI reminiscing about the times when we…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Friend Like You+Sammie
40,[],I'm Still In Love With You+Boris Gardiner
41,[],Throw A Party+Heavy Pettin
42,"['I\'m rolling down a well worn road\nI\'m wondering if I\'ll ever know\nIf I\'ll be better than I was before\nWhen I surface through the service door\nBye\nI\'m on standby\nOut of order or sort of unaligned\nPowered down for redesign\nBye bye\nI\'m on standby\nAccording to the work order you signed\nI\'ll be down for some time\nI\'ll be down for some time\nI got good at saying ""I gotta go""\nNumber one at saying ""I don\'t know""\nBut from the stories I\'ve heard\nYou humans require more…\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",I'm On Standby+GRANDADDY
43,[],Great American Novel (Justice Album Version)+STEVE CAMP
44,"['Mein Freund trägt Uniform (5x)\nDas steht ihm ganz enorm,\nIch find ihn furchtbar schick in Uniform.\nMein Freund trägt Uniform,\nEr ist wie ein Soldat und geht an der Macht ist er so akkurat:\nMein Freund trägt Uniform\nMein Freund trägt Uniform\nMein Freund trägt Uniform\nEr ist mein Offizier wenn er Befehle gibt,\nKanns sein, dass ich marschier.\nMein Freund trägt Uniform\nDas ist so heldenhaft\nIch wär so gern mit ihm in der Gefangenschaft.\nMein Freund trägt Uniform\nIch find die Uniform an meinem Schatz so gut\nSie weckt in mir die Fantasie, den Heldenmut.\nDu siehst so geil aus wenn du dich für mich in Schale schmeißt,\nAuch wenn der Rest der Welt es gar nicht so gut heißt.\nMein Freund trägt Uniform\nMein Freund trägt Uniform\nMein Freund trägt Uniform\nEr ist mein Offizier…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Uniform+Soko Friedhof
45,[],Why U Wanna Hate+K-Rino
46,[],Faithfully+Rockabye Baby!
47,['Uvijek su bile tako nevine\nTe tvoje crne oci\nKo da nikad nece proci\nLjubavne igre one ne vide\nI nikad nece moci\nSve dok samo strah ne ostane\nZar si stvarno mislila\nDa je sve to igra\nSto sam ja zbog tebe sam\nA sto ces sada\nKad si stigla do zida\nA doma nema goluba da te miluje\nTeske se kise spremaju\nKroz tvoj se prozor\nSamo jablani vide\nNad gradom munje sijevaju\nUZALUD PITAS KO IDE\nUZALUD PITAS KO IDE\nBudaline u planine\nPustahije kroz kapije\nStari strazari zijevaju\nKroz tvoj se prozor\nSamo jablani vide\nDaleki momci pjevaju\nUZALUD PITAS KO IDE\nBudaline u planine\nPustahije kroz kapije\nPogasi sve\nI budi vesela\nJer ljubav je\nZa nas tek pocela\nKoncertna verzija\nKolko si puta gledala kad se\nVracahu mladi momci s megdana\nI svak je htio poljupcem da se\nUmije\nPrvi bi bio previse grub\nA…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch'],Uzalud pitaa+Haustor
48,[],Crying In Denial (Acoustic)+Thirsty Merc
49,[],Gritos dos metals+Ile Axe
50,[],Hottest Gal In Town+Lil Johnson
51,['Si cuando perdí la razón\nquerías culparme de algo\nla culpa la tuve yo\nme hice canción.\nY ahora me siento tan libre\nculpador culpando al culpable\ntrafico un poco de emoción\nme hice canción.\nCómo encender ese fuego\nque da luz a mi eternidad\ncomo en un suave letargo\nno sé…\n\n\n\n\n\n\nFuente: LyricFind'],Me Hice CanciÃ³n+La Renga
52,[],An American In Paris (Live)+Ray Anthony
53,[],People Of The World+Causey Way
54,[],Louis Riel (Album)+Grand Archives
55,"['They come to dance\nAnd find romance\nIn via roma\nIn every bar\nSweet guitar\nAnd sounds of laughter\nI simply smiled\nAnd raised a glass when she walked over\nThen love began\nShe took my hand and said\n""let\'s dance""\nWe were sliding to the left\nBello bello!\nWe were swaying to the right\nBello bello\nOh my head was in a spin\nBello bello\nBut I held her body tight\nAnd then this bella bella signorina\nWith a smile so tender\nShe put a rythm in my feet\nAs we danced this crazy beat\nOoh my bella bella signorina\nBaby I surrender\nCan you teach me more tonight?\nOr must I dance till mornin\' light\nWe were sliding to the left\nBello bello!\nWe were swaying to the right\nBello bello\nOh my head was in a spin\nBello bello\nBut I held her body tight\nUh\nA oh bello\nIt was by chance\nAnd circumstance that I…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Bella Bella Signorina+Patrizio Buanne
56,[],Barnyard In Orbit+Perrey And Kingsley
57,[],Sixth Of June (Miracle)+Conya Doss
58,[],Paramount+Offwhyte feat. Qwel
59,[],Go to Austin+Sunnysmack
60,[],Techno Playtime+The Black Dog
61,"[""La reina de la noche\nLa diosa del vudú\nYo no podré salvarme\nPodrás salvarte tú?\nLa tela de la araña\nLa uña del dragón\nTe lleva a los infiernos\nElla es tu adicción\nTe besa y te desnuda con su baile demencial\nTú cierras los ojitos y te dejas arrastrar\nTú te dejas arrastrar\nElla que será\nShe's livin' la vida loca\nY te dolerá\nSí, de verdad te toca\nElla es tu final\nVive la vida loca\nElla te dirá\nVive la vida loca\nShe's livin' la vida loca\nSe fue a New York City\nA la torre de un hotel\nTe ha robado la cartera\nSe ha llevado hasta tu piel\nPor eso no bebía\nDe tu copa de licor\nPor eso te besaba\nCon narcótico sabor\nEs el beso de calor\nElla que será\nShe's livin' la vida loca\nY te dolerá\nSí, de verdad te toca\nElla es tu final\nVive la vida loca\nElla te…\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: LyricFind""]",Livin' La Vida Loca+Ricky Martin
62,"['girls lie to boys and boys lie to girls\nHe says, ""I\'ve been at the office, papers up to here""\nBut he smells like beer\nShe says, ""its okay""\nHe thinks she doesn\'t know - women always know\nbut I\'m gonna be the one to break all those rules\nI think those people are fools\nScandal\'s nothing new\nWhat good is the truth if we never use it?\nyou\'ve just got to trust me sometimes\n""trust me"" he says in the dark\nShe\'s saved it all this time\nBut to him it\'s worth a dime\nShe found out the hard way you get the kisses then\nThe tears\nTo think she\'d saved is all these years\nYou\'ve just got to trust me sometime\nbut I\'m gonna be the one to break all those rules\nI think those people are fools\nScandal\'s nothing new\nWhat good is the truth if we never use it?\nI may leave you but I will…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Trust Me+Voice Of The Beehive
63,['1999 was a good year\nI was born and then I died\nSo fill your glasses to the brim\nAnd drink the whiskey and the gin\nSo come on in have a drink and be merry\nIn this house there is plenty of wine\nCome on in have a drink have some sherry\nAnd drink your drink to 1999\nDo you hear the brass band playing\nDonations gratefully received\nSo fill your glasses to the brim\nAnd drink the whiskey and the gin\nSo come on in have a drink and be merry\nIn this house there is plenty of wine\nCome on in have a…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch'],1999+Nirvana
64,[],Passion For Life+Louie Austen
65,[],Homecoming+Yellowjackets
66,"[""Well, I think I'm goin' out of my head\nYes, I think I'm goin' out of my head\nOver you, Over you\nI want you to want me, I need you so badly\nI can't think of anything but you\nAnd I think I'm goin' out of my head\nYes, I think I'm goin' out of my head\nOver you, Over you\nI see you each morning\nBut you just walk past me You don't even know that I exist\nGoin' out of my head over you\nOut of my head over you Out of my head day and night\nNight and day and night, Wrong or right\nI must think of a way Into your heart\nThere's no reason why My being shy Should keep us apart\nAnd I think I'm goin'…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Goin Out Of My Head+Gloria Gaynor
67,[],Enero en la playa+Facto Delafe y las flores azules
68,"[""And we don't have much\nBut these four walls\nAnd it's just enough\nTo keep us warm\nOn those cold winter nights\nLet's think about better days\nNot what we did\nBut what we'll do\nAnd we work so hard\nEach and every day\nWe're growing old\nWe get afraid\nYou can count on me\nLet's think about better days\nNot what we did\nBut what we'll do\nAnd if I had\nOnly one more day\nI'd spend it right here with you\nUnder a million stars\nOur two hearts pound\nAnd that's the only thing\nThat matters now\nWe know a few…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Better Days+Ian Gillan
69,[],Warum+Ganz SchÃ¶n Feist
70,[],Teddy Bear+Gene Simmons
71,[],Lost Alone+Killing Floor
72,"[""Hello Mr. Zebra\nCan I have your sweater\nCause it's cold cold cold\nIn my hole hole hole\nRatatouille strychnine\nSometimes she's a friend of mine\nWith a gigantic whirlpool\nThat will blow your mind\nHello Mr. Zebra\nRan into some confusion\nWith a Mrs. Crocodile\nFurry mussels marching on\nShe thinks she's Kaiser Wilhelm\nOr a civilized syllabub\nTo blow your mind\nFigure it out\nShe's a…\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Mr. Zebra+Tori Amos
73,"[""Oh dear Rosanna, what shall I do?\nI called room service and they sent along you\nYou came in, met me with a grin\nIf only you knew, It's all right\nYou don't speak English, I don't know Chinese\nI ordered breakfast for one and you brought me three\nMy morning call was Arabs in the hall\nAnd you spit half my tea, but, It's all right\nYou look uneasy, you move to…\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Room Service+Fischer-Z
74,[],De-Arranged+Factums
75,"['""Ladies and gentlemen\nboys and girls\nI bring to you""\n""Once again""\nOnce again it\'s Cypress Hill\n""Once again""\n""Once again""\nOnce again it\'s Cypress Hill\n""The greatest show on Earth""\n""Once again""\nOnce again it\'s Cypress Hill\n""Back again""\n""Once again""\nOnce again it\'s Cypress Hill\n""I bring to you""\nWelcome everyone, take ya places\nIt\'s great seein all these familiar faces\nYou want thug shit? We got a lot of it\nYou want to get high? I\'m on top of it\nYou want bottles? c\'mon, we popping it\nYou want a revolution?Ain\'t no stoppin it\nEnemies try to fire back\nDesire that, find you where the tire track\nCause we run ya down son, but in spite of that\nGot a joint?Fools give me my lighter back\nI\'ma light up the bomb\nI\'ma blaze \'til we set off the fire alarm\nNo need for evacuation\nFind…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Once Again+Cypress Hill
76,[],Anda_ jaleo+Julien Lourau
77,"[""I see you in my dreams\nI can't escape the sore memories\nI wonder how I'll ever move on\nWhen you're gone\nI'm not a drifter anymore\nI've done that road, had enough, seen it all\nI wonder how my heart will move on\nWhen you're gone\nWhen our love is gone\nEstribillo:\nIf love can't live eternally\nA million years, a thousand centuries\nWhy do our foolish hearts\nSwear to love forever\nWhy do we take that road\nIf we can't stay on it together\nIs it only make believe\nIs it only broken hearts and empty dreams\nI wonder how…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Gone+Leverage
78,"[""In your world of admirers, lovers, hangers on,\nBathroom mirrors, ghosts and fleeting friends\nYour SOSs, your emotional messes\nAnd your daily dramas without end\nYou're victories, wardrobe full of clothes you never wear\nA vase of daffodils in your window\nIt's here I found the graveyard of my dreams\nThe ones I didn't want to know\nWe're learning, learning how to fall\nWe're learning, learning how to fall\nBuried in the darkness, sitting naked in your chair\nYou're a statue, indifferent to my stare\nI came begging at your bed,\nAfter a while, even i thought I wasn't there\nSo I lost my body, lost Time but not my mind\nJust like life after death\nWashed away in a raging river\nAnd the coldness makes us shiver\nAs we try to hold on tight\nWe're learning, learning how to fall…\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Learning (how to fall)+Anita Lipnicka I John Porter
79,"[""Yeah we could wait for the sun to go down,\nCount the hours til it's time to go out,\nBut the radio's on and it's playing our song.\nGirl I cant help but see the sweat on your skin,\nMakes me want to put something cool in your hand and take that t-shirt off.\nIs that so wrong?\nWhat you say we do a little day drinking?\nTell me girl are you thinking, girl, what I'm thinking?\nWe could stay right here and just start working on a buzz, soaking in the sun.\nNo we ain't in no rush, so what you say we do a little day drinking?\nYeah, some day drinking.\nGirl, there's just something bout nothing to do.\nWe could turn a happy hour right into two, three, or four if you want.\nIt'd be a shame if we don't.\nWhat you say we do a little day drinking?\nTell me girl are…\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Under My Skin+Parmalee
80,[],The Wexler Interrogation+Tom Tykwer_ Johnny Klimek_ Reinhold Heil
81,['Eu só queria dizer\nMesmo de longe eu estou só com você\nPor isso eu te liguei\nPra sentir sua voz\nMe derreter é sério\nPode crer\nSó penso em você\nSó penso em nós dois\nMenina você nem tem do que duvidar\nEm qualquer olhar\nSó vejo o seu\nEu tenho o seu amor e você tem o meu\nEscrevi essa canção só pra te dizer\né sério\nSó penso em você\nAs vezes você pergunta\nSe na estrada eu quero\nFicar com alguem\nMas nao existe ninguem\nQue possa me fazer\nAssim tao feliz como eu sou\né sério\nSó penso em você\nSó penso em nós dois\nMenina você nem tem do que duvidar\nEm qualquer olhar\nSó vejo o seu\nEu tenho o seu amor e você tem o meu\nEscrevi essa canção só pra te dizer\né sério\nSó penso em você\nSe eu fechar meus olhos eu te vejo aqui\nOlhando pra mim\nMeu amor é cada vez…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch'],So Penso Em Voce (I m All About You)+Felipe Dylon
82,[],Que trabajen los romano (que tienen el pecho de lata)+Mojinos Escozios
83,[],Wo Hao Xiang Ta+Candy Lo
84,[],Cum On Feel The Noize+One Way System
85,"[""Run, for your life now\nDon't you see your princess is gone'\nPull your vengeance aside\nLet's make it rain blood tonight\nCollide your sword with mine, I'll send your soul\nTo the hell where it came from\nBe this I know you'll never set your eyes\nOn a quest you can't survive\nIt's no surprise that your head hangs\nFrom my heads your mouth can't sin or lie\nCut threw the limbs\nStab threw the enemies eyes\nAny last man will die\nShe, watching the sky burn oh how it burns\nRun for the skylines run for the skylines darling\nFollow the light of the moon just stay alive\nForgive me\nFor tomorrow\nIf I'm late\nI'll died before I wake\nCut threw the limbs\nStab threw the enemies eyes\nAny last man will die\nWhat's left for you\nYou wanted life\nI showed you love\nConserve protect your life\nYour…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Hey Nightmare_ Where Did You Get Them Teeth?+A Skylit Drive
86,"['Saw her on a Friday outside someones dance saloon\nShe was crying over someone that she felt love much too soon\nI said: ""Hey girl don\'t you cry tonight, let me take you out on this town""\nShe looked at me and smiled as one last tear splashed of the ground\nWith half a wink she asked me ""What are you some kind of creep?""\nI told her ""No I guess I just feel your vibe is kinda deep""\nThe moon hung over Soho and I counted 16 stars\nI pointed at the brightest one and said ""Now that one\'s ours""\nShe\'s a dandelion up on her hill, above the sea\nShe\'s not exactly everythin I thought that she might be\nShe\'s a dandelion, she looks like everythin I need\nI thought she was a flower but I found out she\'s a weed\nAnd I hold on hold on hold on, hold on hold on hold on\nI just…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Dandelion+LFO
